=== Predictions on user test set ===

    inst#     actual  predicted error prediction
    12068        1:?      2:Yes       0.85 
    12069        1:?      2:Yes       1 
    12070        1:?      2:Yes       1 
    12071        1:?      2:Yes       1 
    12072        1:?      2:Yes       1 
    12073        1:?      2:Yes       0.95 
    12074        1:?      2:Yes       0.97 
    12075        1:?      2:Yes       0.82 
    12076        1:?      2:Yes       0.75 
    12077        1:?      2:Yes       0.82 
    12078        1:?      2:Yes       0.95 
    12079        1:?      2:Yes       0.94 
    12080        1:?      2:Yes       0.97 
    12081        1:?      2:Yes       0.99 
    12082        1:?      2:Yes       0.56 
    12083        1:?      2:Yes       0.52 
    12084        1:?      2:Yes       0.99 
    12085        1:?      2:Yes       0.99 
    12086        1:?      2:Yes       1 
    12087        1:?      2:Yes       0.98 
    12088        1:?      2:Yes       0.98 
    12089        1:?      2:Yes       0.95 
    12090        1:?      2:Yes       0.93 
    12091        1:?      2:Yes       0.95 
    12092        1:?      2:Yes       0.89 
    12093        1:?      2:Yes       0.91 
    12094        1:?      2:Yes       0.85 
    12095        1:?      2:Yes       0.96 
    12096        1:?      2:Yes       0.97 
    12097        1:?      2:Yes       0.94 
    12098        1:?      2:Yes       0.94 
    12099        1:?      2:Yes       1 
    12100        1:?       1:No       0.92 
    12101        1:?      2:Yes       0.88 
    12102        1:?      2:Yes       0.96 
    12103        1:?      2:Yes       1 
    12104        1:?      2:Yes       0.98 
    12105        1:?      2:Yes       0.84 
    12106        1:?      2:Yes       0.98 
    12107        1:?      2:Yes       0.95 
    12108        1:?      2:Yes       0.67 
    12109        1:?      2:Yes       0.97 
    12110        1:?      2:Yes       0.93 
    12111        1:?      2:Yes       0.96 
    12112        1:?      2:Yes       1 
    12113        1:?      2:Yes       0.91 
    12114        1:?      2:Yes       0.97 
    12115        1:?      2:Yes       0.95 
    12116        1:?      2:Yes       0.95 
    12117        1:?      2:Yes       0.95 
    12118        1:?      2:Yes       0.87 
    12119        1:?      2:Yes       0.97 
    12120        1:?      2:Yes       1 
    12121        1:?      2:Yes       0.92 
    12122        1:?      2:Yes       1 
    12123        1:?      2:Yes       0.88 
    12124        1:?      2:Yes       0.95 
    12125        1:?      2:Yes       0.97 
    12126        1:?      2:Yes       0.85 
    12127        1:?      2:Yes       0.92 
    12128        1:?      2:Yes       0.79 
    12129        1:?      2:Yes       0.93 
    12130        1:?      2:Yes       1 
    12131        1:?      2:Yes       0.92 
    12132        1:?      2:Yes       0.97 
    12133        1:?      2:Yes       0.92 
    12134        1:?      2:Yes       0.9 
    12135        1:?      2:Yes       0.94 
    12136        1:?      2:Yes       0.97 
    12137        1:?      2:Yes       0.95 
    12138        1:?      2:Yes       0.91 
    12139        1:?      2:Yes       0.96 
    12140        1:?      2:Yes       0.97 
    12141        1:?      2:Yes       0.94 
    12142        1:?      2:Yes       0.99 
    12143        1:?      2:Yes       1 
    12144        1:?       1:No       0.81 
    12145        1:?      2:Yes       0.97 
    12146        1:?      2:Yes       0.96 
    12147        1:?      2:Yes       0.96 
    12148        1:?       1:No       0.51 
    12149        1:?      2:Yes       1 
    12150        1:?      2:Yes       1 
    12151        1:?       1:No       0.96 
    12152        1:?      2:Yes       0.89 
    12153        1:?      2:Yes       0.93 
    12154        1:?      2:Yes       0.99 
    12155        1:?      2:Yes       0.93 
    12156        1:?      2:Yes       0.98 
    12157        1:?      2:Yes       0.94 
    12158        1:?      2:Yes       0.76 
    12159        1:?      2:Yes       0.91 
    12160        1:?      2:Yes       0.93 
    12161        1:?      2:Yes       0.89 
    12162        1:?      2:Yes       0.88 
    12163        1:?      2:Yes       0.88 
    12164        1:?      2:Yes       0.67 
    12165        1:?       1:No       0.72 
    12166        1:?      2:Yes       0.78 
    12167        1:?      2:Yes       0.95 
    12168        1:?      2:Yes       0.92 
    12169        1:?      2:Yes       0.87 
    12170        1:?      2:Yes       0.95 
    12171        1:?      2:Yes       1 
    12172        1:?      2:Yes       0.84 
    12173        1:?      2:Yes       0.83 
    12174        1:?      2:Yes       0.71 
    12175        1:?      2:Yes       0.75 
    12176        1:?       1:No       0.95 
    12177        1:?      2:Yes       1 
    12178        1:?       1:No       0.61 
    12179        1:?      2:Yes       0.98 
    12180        1:?       1:No       0.5 
    12181        1:?      2:Yes       1 
    12182        1:?      2:Yes       0.96 
    12183        1:?      2:Yes       0.75 
    12184        1:?      2:Yes       0.99 
    12185        1:?      2:Yes       0.59 
    12186        1:?      2:Yes       1 
    12187        1:?      2:Yes       1 
    12188        1:?       1:No       0.69 
    12189        1:?       1:No       0.82 
    12190        1:?      2:Yes       0.85 
    12191        1:?      2:Yes       0.76 
    12192        1:?      2:Yes       0.95 
    12193        1:?      2:Yes       0.82 
    12194        1:?      2:Yes       1 
    12195        1:?      2:Yes       0.85 
    12196        1:?      2:Yes       0.92 
    12197        1:?      2:Yes       0.96 
    12198        1:?      2:Yes       1 
    12199        1:?      2:Yes       1 
    12200        1:?      2:Yes       0.95 
    12201        1:?       1:No       0.79 
    12202        1:?      2:Yes       0.52 
    12203        1:?      2:Yes       0.73 
    12204        1:?      2:Yes       1 
    12205        1:?      2:Yes       0.94 
    12206        1:?      2:Yes       0.94 
    12207        1:?      2:Yes       0.9 
    12208        1:?      2:Yes       1 
    12209        1:?      2:Yes       1 
    12210        1:?      2:Yes       0.89 
    12211        1:?      2:Yes       1 
    12212        1:?      2:Yes       0.92 
    12213        1:?      2:Yes       1 
    12214        1:?      2:Yes       1 
    12215        1:?      2:Yes       1 
    12216        1:?      2:Yes       0.85 
    12217        1:?      2:Yes       1 
    12218        1:?      2:Yes       0.51 
    12219        1:?      2:Yes       1 
    12220        1:?       1:No       0.57 
    12221        1:?      2:Yes       0.93 
    12222        1:?      2:Yes       0.82 
    12223        1:?      2:Yes       1 
    12224        1:?       1:No       0.62 
    12225        1:?      2:Yes       0.88 
    12226        1:?      2:Yes       0.98 
    12227        1:?      2:Yes       0.96 
    12228        1:?       1:No       0.56 
    12229        1:?      2:Yes       0.99 
    12230        1:?      2:Yes       1 
    12231        1:?      2:Yes       0.94 
    12232        1:?      2:Yes       0.78 
    12233        1:?      2:Yes       0.99 
    12234        1:?      2:Yes       0.91 
    12235        1:?      2:Yes       0.82 
    12236        1:?      2:Yes       0.93 
    12237        1:?       1:No       0.7 
    12238        1:?      2:Yes       0.89 
    12239        1:?      2:Yes       0.85 
    12240        1:?       1:No       0.51 
    12241        1:?      2:Yes       0.98 
    12242        1:?      2:Yes       0.93 
    12243        1:?      2:Yes       0.9 
    12244        1:?      2:Yes       0.95 
    12245        1:?       1:No       0.97 
    12246        1:?      2:Yes       1 
    12247        1:?      2:Yes       1 
    12248        1:?      2:Yes       1 
    12249        1:?      2:Yes       0.94 
    12250        1:?      2:Yes       0.89 
    12251        1:?       1:No       0.77 
    12252        1:?      2:Yes       0.97 
    12253        1:?      2:Yes       0.82 
    12254        1:?      2:Yes       1 
    12255        1:?      2:Yes       1 
    12256        1:?       1:No       0.6 
    12257        1:?      2:Yes       1 
    12258        1:?       1:No       0.77 
    12259        1:?      2:Yes       0.87 
    12260        1:?      2:Yes       0.94 
    12261        1:?      2:Yes       0.92 
    12262        1:?      2:Yes       1 
    12263        1:?      2:Yes       0.99 
    12264        1:?      2:Yes       1 
    12265        1:?      2:Yes       0.98 
    12266        1:?       1:No       0.71 
    12267        1:?      2:Yes       0.57 
    12268        1:?      2:Yes       0.96 
    12269        1:?      2:Yes       0.98 
    12270        1:?      2:Yes       0.96 
    12271        1:?      2:Yes       0.85 
    12272        1:?      2:Yes       0.95 
    12273        1:?      2:Yes       0.9 
    12274        1:?       1:No       0.93 
    12275        1:?      2:Yes       0.96 
    12276        1:?      2:Yes       0.82 
    12277        1:?      2:Yes       0.75 
    12278        1:?       1:No       0.85 
    12279        1:?      2:Yes       0.94 
    12280        1:?      2:Yes       0.96 
    12281        1:?      2:Yes       0.88 
    12282        1:?      2:Yes       0.93 
    12283        1:?      2:Yes       0.96 
    12284        1:?      2:Yes       0.99 
    12285        1:?      2:Yes       0.96 
    12286        1:?      2:Yes       0.95 
    12287        1:?      2:Yes       0.99 
    12288        1:?      2:Yes       0.96 
    12289        1:?      2:Yes       0.97 
    12290        1:?      2:Yes       0.8 
    12291        1:?      2:Yes       0.85 
    12292        1:?      2:Yes       0.94 
    12293        1:?      2:Yes       0.79 
    12294        1:?      2:Yes       0.94 
    12295        1:?      2:Yes       1 
    12296        1:?      2:Yes       0.95 
    12297        1:?      2:Yes       0.61 
    12298        1:?      2:Yes       0.99 
    12299        1:?      2:Yes       0.93 
    12300        1:?      2:Yes       0.95 
    12301        1:?      2:Yes       0.99 
    12302        1:?       1:No       0.8 
    12303        1:?      2:Yes       1 
    12304        1:?      2:Yes       1 
    12305        1:?      2:Yes       1 
    12306        1:?      2:Yes       0.97 
    12307        1:?      2:Yes       0.99 
    12308        1:?      2:Yes       1 
    12309        1:?      2:Yes       0.93 
    12310        1:?      2:Yes       0.98 
    12311        1:?      2:Yes       0.94 
    12312        1:?      2:Yes       0.98 
    12313        1:?      2:Yes       0.99 
    12314        1:?      2:Yes       0.91 
    12315        1:?      2:Yes       0.96 
    12316        1:?      2:Yes       0.95 
    12317        1:?      2:Yes       0.95 
    12318        1:?      2:Yes       0.56 
    12319        1:?      2:Yes       1 
    12320        1:?      2:Yes       0.91 
    12321        1:?      2:Yes       1 
    12322        1:?      2:Yes       1 
    12323        1:?      2:Yes       0.95 
    12324        1:?      2:Yes       0.86 
    12325        1:?      2:Yes       0.98 
    12326        1:?      2:Yes       0.94 
    12327        1:?      2:Yes       0.98 
    12328        1:?      2:Yes       0.71 
    12329        1:?      2:Yes       0.97 
    12330        1:?      2:Yes       0.88 
    12331        1:?      2:Yes       0.98 
    12332        1:?      2:Yes       0.88 
    12333        1:?      2:Yes       0.89 
    12334        1:?      2:Yes       1 
    12335        1:?      2:Yes       0.75 
    12336        1:?      2:Yes       0.98 
    12337        1:?      2:Yes       0.96 
    12338        1:?      2:Yes       0.99 
    12339        1:?       1:No       0.51 
    12340        1:?      2:Yes       0.71 
    12341        1:?      2:Yes       0.92 
    12342        1:?       1:No       0.88 
    12343        1:?      2:Yes       0.97 
    12344        1:?      2:Yes       0.92 
    12345        1:?      2:Yes       1 
    12346        1:?      2:Yes       0.99 
    12347        1:?      2:Yes       0.85 
    12348        1:?       1:No       0.8 
    12349        1:?      2:Yes       0.92 
    12350        1:?      2:Yes       0.53 
    12351        1:?       1:No       0.52 
    12352        1:?      2:Yes       0.92 
    12353        1:?      2:Yes       0.83 
    12354        1:?      2:Yes       0.94 
    12355        1:?       1:No       0.62 
    12356        1:?      2:Yes       0.98 
    12357        1:?      2:Yes       0.96 
    12358        1:?      2:Yes       1 
    12359        1:?      2:Yes       0.89 
    12360        1:?      2:Yes       0.97 
    12361        1:?      2:Yes       1 
    12362        1:?      2:Yes       0.97 
    12363        1:?      2:Yes       0.97 
    12364        1:?      2:Yes       0.96 
    12365        1:?      2:Yes       0.98 
    12366        1:?      2:Yes       0.77 
    12367        1:?      2:Yes       0.93 
    12368        1:?      2:Yes       0.99 
    12369        1:?      2:Yes       0.97 
    12370        1:?      2:Yes       0.91 
    12371        1:?      2:Yes       0.95 
    12372        1:?      2:Yes       0.64 
    12373        1:?      2:Yes       0.99 
    12374        1:?      2:Yes       0.99 
    12375        1:?      2:Yes       1 
    12376        1:?      2:Yes       0.81 
    12377        1:?      2:Yes       0.96 
    12378        1:?       1:No       0.89 
    12379        1:?      2:Yes       0.85 
    12380        1:?      2:Yes       0.82 
    12381        1:?      2:Yes       0.91 
    12382        1:?      2:Yes       0.73 
    12383        1:?       1:No       0.53 
    12384        1:?      2:Yes       0.95 
    12385        1:?      2:Yes       0.9 
    12386        1:?      2:Yes       0.79 
    12387        1:?      2:Yes       0.85 
    12388        1:?      2:Yes       0.78 
    12389        1:?       1:No       0.53 
    12390        1:?      2:Yes       0.54 
    12391        1:?      2:Yes       0.84 
    12392        1:?      2:Yes       0.57 
    12393        1:?      2:Yes       0.83 
    12394        1:?      2:Yes       0.99 
    12395        1:?      2:Yes       0.96 
    12396        1:?      2:Yes       0.82 
    12397        1:?      2:Yes       0.92 
    12398        1:?      2:Yes       0.95 
    12399        1:?      2:Yes       0.84 
    12400        1:?      2:Yes       0.87 
    12401        1:?      2:Yes       0.99 
    12402        1:?      2:Yes       0.73 
    12403        1:?      2:Yes       1 
    12404        1:?      2:Yes       0.8 
    12405        1:?      2:Yes       0.75 
    12406        1:?      2:Yes       0.95 
    12407        1:?      2:Yes       0.99 
    12408        1:?      2:Yes       1 
    12409        1:?      2:Yes       0.97 
    12410        1:?      2:Yes       0.95 
    12411        1:?      2:Yes       0.87 
    12412        1:?      2:Yes       0.62 
    12413        1:?      2:Yes       1 
    12414        1:?      2:Yes       1 
    12415        1:?      2:Yes       0.99 
    12416        1:?      2:Yes       1 
    12417        1:?      2:Yes       0.97 
    12418        1:?      2:Yes       0.96 
    12419        1:?      2:Yes       0.93 
    12420        1:?      2:Yes       0.93 
    12421        1:?      2:Yes       0.83 
    12422        1:?      2:Yes       1 
    12423        1:?       1:No       0.84 
    12424        1:?      2:Yes       0.96 
    12425        1:?      2:Yes       0.93 
    12426        1:?      2:Yes       0.92 
    12427        1:?      2:Yes       0.85 
    12428        1:?      2:Yes       0.7 
    12429        1:?      2:Yes       0.99 
    12430        1:?      2:Yes       0.94 
    12431        1:?      2:Yes       1 
    12432        1:?      2:Yes       0.97 
    12433        1:?       1:No       0.81 
    12434        1:?      2:Yes       0.87 
    12435        1:?      2:Yes       0.88 
    12436        1:?      2:Yes       0.85 
    12437        1:?      2:Yes       0.73 
    12438        1:?      2:Yes       1 
    12439        1:?      2:Yes       0.98 
    12440        1:?      2:Yes       0.64 
    12441        1:?      2:Yes       0.99 
    12442        1:?      2:Yes       0.92 
    12443        1:?      2:Yes       0.89 
    12444        1:?      2:Yes       0.98 
    12445        1:?      2:Yes       0.99 
    12446        1:?      2:Yes       0.88 
    12447        1:?      2:Yes       0.99 
    12448        1:?      2:Yes       0.83 
    12449        1:?      2:Yes       0.98 
    12450        1:?      2:Yes       0.82 
    12451        1:?      2:Yes       0.99 
    12452        1:?      2:Yes       0.93 
    12453        1:?      2:Yes       0.97 
    12454        1:?      2:Yes       0.91 
    12455        1:?      2:Yes       0.99 
    12456        1:?      2:Yes       0.92 
    12457        1:?      2:Yes       0.97 
    12458        1:?      2:Yes       1 
    12459        1:?      2:Yes       0.97 
    12460        1:?      2:Yes       0.98 
    12461        1:?      2:Yes       0.8 
    12462        1:?      2:Yes       0.69 
    12463        1:?      2:Yes       0.94 
    12464        1:?      2:Yes       0.97 
    12465        1:?      2:Yes       0.93 
    12466        1:?       1:No       0.92 
    12467        1:?      2:Yes       0.94 
    12468        1:?      2:Yes       0.96 
    12469        1:?      2:Yes       0.94 
    12470        1:?      2:Yes       0.97 
    12471        1:?      2:Yes       0.97 
    12472        1:?      2:Yes       0.91 
    12473        1:?       1:No       0.84 
    12474        1:?      2:Yes       0.97 
    12475        1:?      2:Yes       0.79 
    12476        1:?      2:Yes       0.99 
    12477        1:?      2:Yes       0.99 
    12478        1:?      2:Yes       0.97 
    12479        1:?      2:Yes       0.67 
    12480        1:?      2:Yes       0.99 
    12481        1:?      2:Yes       0.99 
    12482        1:?      2:Yes       0.99 
    12483        1:?      2:Yes       0.99 
    12484        1:?       1:No       0.77 
    12485        1:?      2:Yes       0.92 
    12486        1:?      2:Yes       0.66 
    12487        1:?      2:Yes       0.94 
    12488        1:?       1:No       0.95 
    12489        1:?      2:Yes       0.66 
    12490        1:?      2:Yes       1 
    12491        1:?      2:Yes       0.98 
    12492        1:?      2:Yes       0.97 
    12493        1:?      2:Yes       1 
    12494        1:?      2:Yes       0.66 
    12495        1:?      2:Yes       0.75 
    12496        1:?      2:Yes       0.99 
    12497        1:?      2:Yes       0.96 
    12498        1:?      2:Yes       0.87 
    12499        1:?      2:Yes       0.91 
    12500        1:?      2:Yes       0.92 
    12501        1:?      2:Yes       0.96 
    12502        1:?      2:Yes       0.58 
    12503        1:?      2:Yes       0.82 
    12504        1:?      2:Yes       0.99 
    12505        1:?      2:Yes       0.96 
    12506        1:?      2:Yes       0.92 
    12507        1:?      2:Yes       0.99 
    12508        1:?      2:Yes       0.97 
    12509        1:?      2:Yes       1 
    12510        1:?      2:Yes       1 
    12511        1:?      2:Yes       0.99 
    12512        1:?      2:Yes       0.96 
    12513        1:?      2:Yes       0.88 
    12514        1:?      2:Yes       0.95 
    12515        1:?      2:Yes       1 
    12516        1:?      2:Yes       1 
    12517        1:?      2:Yes       1 
    12518        1:?       1:No       0.74 
    12519        1:?      2:Yes       0.98 
    12520        1:?      2:Yes       0.83 
    12521        1:?      2:Yes       0.75 
    12522        1:?      2:Yes       0.99 
    12523        1:?      2:Yes       0.99 
    12524        1:?      2:Yes       1 
    12525        1:?      2:Yes       0.94 
    12526        1:?      2:Yes       0.72 
    12527        1:?      2:Yes       0.84 
    12528        1:?       1:No       0.86 
    12529        1:?      2:Yes       0.95 
    12530        1:?      2:Yes       1 
    12531        1:?      2:Yes       0.86 
    12532        1:?      2:Yes       1 
    12533        1:?      2:Yes       0.99 
    12534        1:?      2:Yes       0.97 
    12535        1:?      2:Yes       0.92 
    12536        1:?      2:Yes       1 
    12537        1:?      2:Yes       0.97 
    12538        1:?      2:Yes       0.94 
    12539        1:?      2:Yes       1 
    12540        1:?      2:Yes       0.83 
    12541        1:?      2:Yes       0.99 
    12542        1:?      2:Yes       0.85 
    12543        1:?      2:Yes       0.96 
    12544        1:?       1:No       0.82 
    12545        1:?      2:Yes       0.99 
    12546        1:?      2:Yes       0.76 
    12547        1:?      2:Yes       1 
    12548        1:?      2:Yes       1 
    12549        1:?      2:Yes       0.99 
    12550        1:?       1:No       0.96 
    12551        1:?      2:Yes       0.98 
    12552        1:?      2:Yes       0.95 
    12553        1:?      2:Yes       1 
    12554        1:?      2:Yes       0.99 
    12555        1:?      2:Yes       0.96 
    12556        1:?      2:Yes       0.97 
    12557        1:?      2:Yes       0.92 
    12558        1:?      2:Yes       0.98 
    12559        1:?      2:Yes       0.98 
    12560        1:?       1:No       0.75 
    12561        1:?      2:Yes       0.67 
    12562        1:?      2:Yes       0.92 
    12563        1:?      2:Yes       1 
    12564        1:?      2:Yes       0.97 
    12565        1:?      2:Yes       1 
    12566        1:?      2:Yes       0.99 
    12567        1:?      2:Yes       0.87 
    12568        1:?      2:Yes       0.74 
    12569        1:?      2:Yes       0.96 
    12570        1:?      2:Yes       1 
    12571        1:?      2:Yes       0.97 
    12572        1:?      2:Yes       0.99 
    12573        1:?      2:Yes       0.93 
    12574        1:?      2:Yes       1 
    12575        1:?      2:Yes       0.99 
    12576        1:?      2:Yes       0.93 
    12577        1:?      2:Yes       1 
    12578        1:?      2:Yes       0.71 
    12579        1:?      2:Yes       1 
    12580        1:?      2:Yes       0.99 
    12581        1:?      2:Yes       1 
    12582        1:?      2:Yes       0.77 
    12583        1:?      2:Yes       0.94 
    12584        1:?      2:Yes       0.98 
    12585        1:?      2:Yes       0.97 
    12586        1:?      2:Yes       0.95 
    12587        1:?      2:Yes       0.97 
    12588        1:?      2:Yes       0.88 
    12589        1:?       1:No       0.6 
    12590        1:?      2:Yes       0.93 
    12591        1:?      2:Yes       1 
    12592        1:?       1:No       0.72 
    12593        1:?      2:Yes       0.92 
    12594        1:?       1:No       0.92 
    12595        1:?      2:Yes       0.99 
    12596        1:?      2:Yes       0.79 
    12597        1:?      2:Yes       1 
    12598        1:?      2:Yes       0.99 
    12599        1:?      2:Yes       0.82 
    12600        1:?      2:Yes       0.99 
    12601        1:?      2:Yes       0.92 
    12602        1:?      2:Yes       1 
    12603        1:?      2:Yes       0.92 
    12604        1:?       1:No       1 
    12605        1:?      2:Yes       0.98 
    12606        1:?      2:Yes       0.98 
    12607        1:?      2:Yes       0.96 
    12608        1:?      2:Yes       0.97 
    12609        1:?      2:Yes       0.56 
    12610        1:?      2:Yes       0.98 
    12611        1:?       1:No       0.82 
    12612        1:?      2:Yes       0.91 
    12613        1:?      2:Yes       0.93 
    12614        1:?      2:Yes       1 
    12615        1:?      2:Yes       0.99 
    12616        1:?      2:Yes       0.99 
    12617        1:?      2:Yes       0.95 
    12618        1:?      2:Yes       0.91 
    12619        1:?      2:Yes       0.94 
    12620        1:?      2:Yes       0.98 
    12621        1:?      2:Yes       0.98 
    12622        1:?      2:Yes       0.94 
    12623        1:?      2:Yes       1 
    12624        1:?      2:Yes       0.96 
    12625        1:?      2:Yes       0.79 
    12626        1:?      2:Yes       1 
    12627        1:?      2:Yes       0.59 
    12628        1:?      2:Yes       0.96 
    12629        1:?      2:Yes       0.98 
    12630        1:?      2:Yes       0.99 
    12631        1:?      2:Yes       0.95 
    12632        1:?      2:Yes       1 
    12633        1:?      2:Yes       0.95 
    12634        1:?      2:Yes       0.97 
    12635        1:?      2:Yes       0.98 
    12636        1:?      2:Yes       1 
    12637        1:?      2:Yes       1 
    12638        1:?      2:Yes       1 
    12639        1:?      2:Yes       1 
    12640        1:?      2:Yes       0.96 
    12641        1:?      2:Yes       0.62 
    12642        1:?      2:Yes       0.98 
    12643        1:?      2:Yes       1 
    12644        1:?      2:Yes       1 
    12645        1:?      2:Yes       0.94 
    12646        1:?      2:Yes       1 
    12647        1:?      2:Yes       1 
    12648        1:?      2:Yes       1 
    12649        1:?      2:Yes       0.96 
    12650        1:?      2:Yes       0.94 
    12651        1:?      2:Yes       0.76 
    12652        1:?      2:Yes       1 
    12653        1:?      2:Yes       0.96 
    12654        1:?      2:Yes       0.83 
    12655        1:?       1:No       0.84 
    12656        1:?      2:Yes       0.85 
    12657        1:?      2:Yes       0.87 
    12658        1:?      2:Yes       0.85 
    12659        1:?      2:Yes       0.98 
    12660        1:?      2:Yes       0.76 
    12661        1:?      2:Yes       1 
    12662        1:?      2:Yes       0.88 
    12663        1:?      2:Yes       0.91 
    12664        1:?      2:Yes       0.68 
    12665        1:?      2:Yes       1 
    12666        1:?      2:Yes       0.83 
    12667        1:?      2:Yes       0.84 
    12668        1:?      2:Yes       0.91 
    12669        1:?      2:Yes       0.9 
    12670        1:?      2:Yes       1 
    12671        1:?      2:Yes       0.98 
    12672        1:?      2:Yes       0.93 
    12673        1:?      2:Yes       0.99 
    12674        1:?      2:Yes       0.75 
    12675        1:?      2:Yes       0.78 
    12676        1:?      2:Yes       0.8 
    12677        1:?      2:Yes       0.99 
    12678        1:?      2:Yes       0.64 
    12679        1:?      2:Yes       0.9 
    12680        1:?      2:Yes       0.77 
    12681        1:?      2:Yes       0.99 
    12682        1:?      2:Yes       0.99 
    12683        1:?      2:Yes       1 
    12684        1:?      2:Yes       1 
    12685        1:?      2:Yes       0.98 
    12686        1:?      2:Yes       0.92 
    12687        1:?      2:Yes       0.95 
    12688        1:?      2:Yes       0.85 
    12689        1:?      2:Yes       0.99 
    12690        1:?      2:Yes       0.98 
    12691        1:?      2:Yes       0.95 
    12692        1:?      2:Yes       0.9 
    12693        1:?      2:Yes       0.98 
    12694        1:?       1:No       0.94 
    12695        1:?      2:Yes       1 
    12696        1:?      2:Yes       0.99 
    12697        1:?       1:No       0.87 
    12698        1:?      2:Yes       0.99 
    12699        1:?      2:Yes       1 
    12700        1:?      2:Yes       0.76 
    12701        1:?      2:Yes       1 
    12702        1:?      2:Yes       1 
    12703        1:?      2:Yes       0.97 
    12704        1:?      2:Yes       1 
    12705        1:?      2:Yes       0.74 
    12706        1:?      2:Yes       0.9 
    12707        1:?       1:No       0.94 
    12708        1:?      2:Yes       0.97 
    12709        1:?      2:Yes       0.98 
    12710        1:?      2:Yes       1 
    12711        1:?      2:Yes       1 
    12712        1:?      2:Yes       0.79 
    12713        1:?      2:Yes       0.86 
    12714        1:?      2:Yes       0.92 
    12715        1:?      2:Yes       0.89 
    12716        1:?      2:Yes       0.99 
    12717        1:?      2:Yes       0.98 
    12718        1:?      2:Yes       1 
    12719        1:?      2:Yes       0.96 
    12720        1:?      2:Yes       0.98 
    12721        1:?      2:Yes       0.79 
    12722        1:?      2:Yes       0.64 
    12723        1:?      2:Yes       1 
    12724        1:?      2:Yes       1 
    12725        1:?      2:Yes       0.8 
    12726        1:?      2:Yes       1 
    12727        1:?      2:Yes       1 
    12728        1:?      2:Yes       0.95 
    12729        1:?      2:Yes       0.86 
    12730        1:?      2:Yes       0.97 
    12731        1:?      2:Yes       0.79 
    12732        1:?      2:Yes       0.95 
    12733        1:?      2:Yes       0.99 
    12734        1:?      2:Yes       0.93 
    12735        1:?      2:Yes       0.87 
    12736        1:?      2:Yes       0.99 
    12737        1:?      2:Yes       1 
    12738        1:?      2:Yes       0.99 
    12739        1:?      2:Yes       1 
    12740        1:?      2:Yes       1 
    12741        1:?      2:Yes       1 
    12742        1:?      2:Yes       0.99 
    12743        1:?      2:Yes       0.99 
    12744        1:?      2:Yes       0.91 
    12745        1:?      2:Yes       0.94 
    12746        1:?      2:Yes       0.76 
    12747        1:?      2:Yes       0.99 
    12748        1:?      2:Yes       0.83 
    12749        1:?      2:Yes       0.85 
    12750        1:?      2:Yes       0.9 
    12751        1:?      2:Yes       0.83 
    12752        1:?      2:Yes       0.59 
    12753        1:?       1:No       0.97 
    12754        1:?      2:Yes       0.96 
    12755        1:?      2:Yes       1 
    12756        1:?      2:Yes       0.75 
    12757        1:?      2:Yes       0.89 
    12758        1:?      2:Yes       0.97 
    12759        1:?      2:Yes       0.95 
    12760        1:?      2:Yes       1 
    12761        1:?      2:Yes       0.81 
    12762        1:?      2:Yes       0.98 
    12763        1:?      2:Yes       0.96 
    12764        1:?      2:Yes       0.93 
    12765        1:?      2:Yes       1 
    12766        1:?      2:Yes       0.95 
    12767        1:?      2:Yes       0.85 
    12768        1:?      2:Yes       0.99 
    12769        1:?      2:Yes       0.73 
    12770        1:?      2:Yes       0.87 
    12771        1:?      2:Yes       1 
    12772        1:?      2:Yes       0.97 
    12773        1:?      2:Yes       0.92 
    12774        1:?       1:No       0.93 
    12775        1:?      2:Yes       0.7 
    12776        1:?      2:Yes       0.8 
    12777        1:?      2:Yes       0.84 
    12778        1:?      2:Yes       0.88 
    12779        1:?      2:Yes       0.96 
    12780        1:?      2:Yes       0.65 
    12781        1:?      2:Yes       0.97 
    12782        1:?      2:Yes       0.66 
    12783        1:?      2:Yes       0.85 
    12784        1:?      2:Yes       0.97 
    12785        1:?      2:Yes       0.8 
    12786        1:?      2:Yes       0.83 
    12787        1:?      2:Yes       0.97 
    12788        1:?      2:Yes       0.99 
    12789        1:?      2:Yes       0.84 
    12790        1:?      2:Yes       0.81 
    12791        1:?      2:Yes       0.97 
    12792        1:?      2:Yes       0.78 
    12793        1:?       1:No       0.73 
    12794        1:?      2:Yes       0.7 
    12795        1:?      2:Yes       0.9 
    12796        1:?      2:Yes       1 
    12797        1:?      2:Yes       1 
    12798        1:?      2:Yes       0.78 
    12799        1:?      2:Yes       0.94 
    12800        1:?      2:Yes       0.79 
    12801        1:?      2:Yes       0.92 
    12802        1:?      2:Yes       0.81 
    12803        1:?      2:Yes       0.89 
    12804        1:?      2:Yes       0.84 
    12805        1:?      2:Yes       0.85 
    12806        1:?      2:Yes       0.87 
    12807        1:?       1:No       0.86 
    12808        1:?       1:No       0.98 
    12809        1:?      2:Yes       0.91 
    12810        1:?      2:Yes       0.8 
    12811        1:?      2:Yes       0.89 
    12812        1:?      2:Yes       0.89 
    12813        1:?      2:Yes       0.57 
    12814        1:?      2:Yes       0.85 
    12815        1:?      2:Yes       0.98 
    12816        1:?      2:Yes       0.69 
    12817        1:?      2:Yes       0.88 
    12818        1:?      2:Yes       0.98 
    12819        1:?      2:Yes       0.79 
    12820        1:?      2:Yes       0.57 
    12821        1:?       1:No       0.78 
    12822        1:?      2:Yes       0.86 
